Name,ID,Condition,Trial,Peek,Location,Choice,peek_while_push,,,,,,,peek_push,down_push
Nkhumwa,4,control,12,np,L,n,N/A,,,,,,,,
Baluku,5,test,1,p,L,n,0,,,,,,,,
Baluku,5,test,2,p,R,y,1,,,,,,,,
Baluku,5,test,3,p,L,n,0,,,,,,,,
Baluku,5,test,4,p,R,y,0,,,,,,,,
Baluku,5,test,5,p,R,y,1,,,,,,,,
Baluku,5,test,6,np,L,n,N/A,,,,,,,,
Baluku,5,test,7,np,L,n,N/A,,,,,,,,
Baluku,5,test,8,p,R,y,1,,,,,,,,
Baluku,5,test,9,p,R,y,1,,,,,,,,
Baluku,5,test,10,p,L,n,1,,,,,,,,
Baluku,5,test,11,p,L,n,0,,,,,,,,
Baluku,5,test,12,p,R,y,0,,,,,,,,
Baluku,5,control,1,np,L,n,N/A,,,,,,,,
Baluku,5,control,2,np,R,y,N/A,,,,,,,,
Baluku,5,control,3,np,L,n,N/A,,,,,,,,
Baluku,5,control,4,p,R,y,N/A,,,,,,,,
Baluku,5,control,5,np,R,y,N/A,,,,,,,,
Baluku,5,control,6,np,L,n,N/A,,,,,,,,
Baluku,5,control,7,np,L,n,N/A,,,,,,,,
Baluku,5,control,8,np,R,n,N/A,,,,,,,,
Baluku,5,control,9,np,R,y,N/A,,,,,,,,
Baluku,5,control,10,np,L,n,N/A,,,,,,,,
Baluku,5,control,11,np,L,y,N/A,,,,,,,,
Baluku,5,control,12,np,R,y,N/A,,,,,,,,
Yoyo,6,test,1,p,R,y,1,,,,,,,,
Yoyo,6,test,2,np,L,n,N/A,,,,,,,,
Yoyo,6,test,3,np,R,y,N/A,,,,,,,,
Yoyo,6,test,4,np,L,n,N/A,,,,,,,,
Yoyo,6,test,5,np,R,y,N/A,,,,,,,,
Yoyo,6,test,6,np,L,n,N/A,,,,,,,,
Yoyo,6,test,7,p,R,y,0,,,,,,,,
Yoyo,6,test,8,np,L,n,N/A,,,,,,,,
Yoyo,6,test,9,np,R,y,N/A,,,,,,,,
Yoyo,6,test,10,np,R,y,N/A,,,,,,,,
Yoyo,6,test,11,np,L,n,N/A,,,,,,,,
Yoyo,6,test,12,np,L,n,N/A,,,,,,,,
Yoyo,6,control,1,np,R,y,N/A,,,,,,,,
Yoyo,6,control,2,np,L,y,N/A,,,,,,,,
Yoyo,6,control,3,np,R,y,N/A,,,,,,,,
Yoyo,6,control,4,np,L,n,N/A,,,,,,,,
Yoyo,6,control,5,np,R,y,N/A,,,,,,,,
Yoyo,6,control,6,np,L,n,N/A,,,,,,,,
Yoyo,6,control,7,np,R,y,N/A,,,,,,,,
Yoyo,6,control,8,np,L,y,N/A,,,,,,,,
Yoyo,6,control,9,np,R,y,N/A,,,,,,,,
Yoyo,6,control,10,np,R,y,N/A,,,,,,,,
Yoyo,6,control,11,np,L,y,N/A,,,,,,,,
Yoyo,6,control,12,np,L,y,N/A,,,,,,,,
Bwambale,7,control,1,np,R,yes,N/A,,,,,,,,
Bwambale,7,control,2,np,L,yes,N/A,,,,,,,,
Bwambale,7,control,3,p,R,no,N/A,,,,,,,,
Bwambale,7,control,4,np,R,yes,N/A,,,,,,,,
Bwambale,7,control,5,np,L,yes,N/A,,,,,,,,
Bwambale,7,control,6,np,L,no,N/A,,,,,,,,
Bwambale,7,control,7,np,R,yes,N/A,,,,,,,,
Bwambale,7,control,8,np,L,yes,N/A,,,,,,,,
Bwambale,7,control,9,np,R,yes,N/A,,,,,,,,
Bwambale,7,control,10,np,L,yes,N/A,,,,,,,,
Bwambale,7,control,11,np,R,yes,N/A,,,,,,,,
Bwambale,7,control,12,np,L,yes,N/A,,,,,,,,
Bwambale,7,test,1,np,R,no,N/A,,,,,,,,
Bwambale,7,test,2,np,L,no,N/A,,,,,,,,
Bwambale,7,test,3,np,R,no,N/A,,,,,,,,
Bwambale,7,test,4,np,R,no,N/A,,,,,,,,
Bwambale,7,test,5,np,L,no,N/A,,,,,,,,
Bwambale,7,test,6,np,L,no,N/A,,,,,,,,
Bwambale,7,test,7,np,R,no,N/A,,,,,,,,
Bwambale,7,test,8,np,L,yes,N/A,,,,,,,,
Bwambale,7,test,9,np,R,no,N/A,,,,,,,,
Bwambale,7,test,10,np,L,no,N/A,,,,,,,,
Bwambale,7,test,11,p,R,no,1,,,,,,,,
Bwambale,7,test,12,np,L,yes,N/A,,,,,,,,
Nakuu,8,control,1,p,R,n,N/A,,,,,,,,
Nakuu,8,control,2,np,L,y,N/A,,,,,,,,
Nakuu,8,control,3,np,R,y,N/A,,,,,,,,
Nakuu,8,control,4,np,L,y,N/A,,,,,,,,
Nakuu,8,control,5,np,R,y,N/A,,,,,,,,
Nakuu,8,control,6,np,L,y,N/A,,,,,,,,
Nakuu,8,control,7,np,R,y,N/A,,,,,,,,
Nakuu,8,control,8,np,L,y,N/A,,,,,,,,
Nakuu,8,control,9,np,R,n,N/A,,,,,,,,
Nakuu,8,control,10,np,R,n,N/A,,,,,,,,
Nakuu,8,control,11,np,L,y,N/A,,,,,,,,
Nakuu,8,control,12,np,L,y,N/A,,,,,,,,
Nakuu,8,test,1,np,R,n,N/A,,,,,,,,
Nakuu,8,test,2,np,L,y,N/A,,,,,,,,
Nakuu,8,test,3,np,R,y,N/A,,,,,,,,
Nakuu,8,test,4,np,L,y,N/A,,,,,,,,
Nakuu,8,test,5,np,R,n,N/A,,,,,,,,
Nakuu,8,test,6,np,L,y,N/A,,,,,,,,
Nakuu,8,test,7,np,R,y,N/A,,,,,,,,
Nakuu,8,test,8,np,L,y,N/A,,,,,,,,
Nakuu,8,test,9,np,R,n,N/A,,,,,,,,
Nakuu,8,test,10,np,R,n,N/A,,,,,,,,
Nakuu,8,test,11,np,L,y,N/A,,,,,,,,
Nakuu,8,test,12,np,L,y,N/A,,,,,,,,
Kidogo,9,control,1,np,L,y,N/A,,,,,,,,
Kidogo,9,control,2,np,R,y,N/A,,,,,,,,
Kidogo,9,control,3,np,L,y,N/A,,,,,,,,
Kidogo,9,control,4,np,R,y,N/A,,,,,,,,
Kidogo,9,control,5,np,R,n,N/A,,,,,,,,
