ID,Condition,Trial,Big Location (test),Small Location (test,Peek,Correct
11M,control,4,2,1,lp,yes
11M,test,1,3,2,lp,yes
11M,test,2,1,3,lp,yes
11M,test,3,4,1,lp,no
11M,test,4,2,4,lp,yes
11F,control,1,1,3,lp,yes
11F,control,2,4,2,lp,yes
11F,control,3,3,4,lp,yes
11F,control,4,2,1,lp,yes
11F,test,1,3,2,lp,yes
11F,test,2,1,3,lp,no
11F,test,3,4,1,lp,no
11F,test,4,2,4,lp,no
12M,control,1,4,1,lp,yes
12M,control,2,2,3,lp,yes
12M,control,3,3,4,lp,yes
12M,control,4,1,2,lp,yes
12M,test,1,2,4,lp,yes
12M,test,2,3,1,lp,yes
12M,test,3,4,3,lp,no
12M,test,4,1,2,lp,no
12F,control,1,4,1,hp,yes
12F,control,2,2,3,lp,yes
12F,control,3,3,4,lp,yes
12F,control,4,1,2,lp,yes
12F,test,1,2,4,lp,yes
12F,test,2,3,1,lp,no
12F,test,3,4,3,lp,no
12F,test,4,1,2,lp,yes
