ID,Condition,Trial,Peek,Location ,Choice ,instruction,fam2_length
9M,ambiguous,4,p,L,y,0,3
9M,unambiguous,1,p,L,y,0,3
9M,unambiguous,2,p,R,y,0,3
9M,unambiguous,3,p,L,y,0,3
9M,unambiguous,4,p,R,y,0,3
9F,ambiguous,1,p,L,y,1,5
9F,ambiguous,2,p,R,y,1,5
9F,ambiguous,3,p,R,y,1,5
9F,ambiguous,4,p,L,y,1,5
9F,unambiguous,1,p,L,y,1,5
9F,unambiguous,2,np,R,y,1,5
9F,unambiguous,3,np,L,y,1,5
9F,unambiguous,4,p,R,y,1,5
10M,unambiguous,1,np,L,y,0,2
10M,unambiguous,2,np,R,y,0,2
10M,unambiguous,3,np,L,y,0,2
10M,unambiguous,4,np,R,y,0,2
10M,ambiguous,1,np,L,y,0,2
10M,ambiguous,2,np,R,y,0,2
10M,ambiguous,3,np,R,y,0,2
10M,ambiguous,4,np,L,y,0,2
10F,unambiguous,1,np,L,y,1,3
10F,unambiguous,2,p,R,y,1,3
10F,unambiguous,3,p,L,y,1,3
10F,unambiguous,4,p,R,y,1,3
10F,ambiguous,1,p,L,y,1,3
10F,ambiguous,2,p,R,y,1,3
10F,ambiguous,3,p,R,y,1,3
10F,ambiguous,4,p,L,y,1,3
11M,unambiguous,1,np,L,y,1,4
11M,unambiguous,2,np,R,y,1,4
11M,unambiguous,3,np,R,n,1,4
11M,unambiguous,4,np,L,y,1,4
11M,ambiguous,1,np,L,n,1,4
11M,ambiguous,2,np,R,y,1,4
11M,ambiguous,3,np,R,y,1,4
11M,ambiguous,4,np,L,n,1,4
11F,unambiguous,1,np,L,y,1,4
11F,unambiguous,2,np,R,y,1,4
11F,unambiguous,3,np,L,y,1,4
11F,unambiguous,4,np,R,y,1,4
11F,ambiguous,1,np,L,n,1,4
11F,ambiguous,2,np,R,y,1,4
11F,ambiguous,3,np,R,n,1,4
11F,ambiguous,4,np,L,y,1,4
12M,unambiguous,1,p,L,y,1,6
12M,unambiguous,2,p,R,y,1,6
12M,unambiguous,3,p,L,y,1,6
12M,unambiguous,4,np,R,y,1,6
12M,ambiguous,1,p,L,y,1,6
12M,ambiguous,2,p,R,y,1,6
12M,ambiguous,3,p,R,y,1,6
12M,ambiguous,4,p,L,y,1,6
13M,unambiguous,1,np,L,y,0,2
13M,unambiguous,2,np,R,y,0,2
13M,unambiguous,3,np,R,y,0,2
13M,unambiguous,4,np,L,y,0,2
13M,ambiguous,1,np,L,n,0,2
13M,ambiguous,2,p,R,y,0,2
13M,ambiguous,3,p,L,y,0,2
13M,ambiguous,4,p,R,y,0,2
