ID,Condition,Trial,Peek,species
7M,unambiguous,1,np,human
7M,unambiguous,2,np,human
7M,unambiguous,3,np,human
7M,unambiguous,4,np,human
7F,ambiguous,1,p,human
7F,ambiguous,2,np,human
7F,ambiguous,3,p,human
7F,ambiguous,4,p,human
7F,unambiguous,1,np,human
7F,unambiguous,2,np,human
7F,unambiguous,3,p,human
7F,unambiguous,4,np,human
8M,ambiguous,1,p,human
8M,ambiguous,2,p,human
8M,ambiguous,3,p,human
8M,ambiguous,4,p,human
8M,unambiguous,1,p,human
8M,unambiguous,2,p,human
8M,unambiguous,3,p,human
8M,unambiguous,4,p,human
8F,ambiguous,1,p,human
8F,ambiguous,2,p,human
8F,ambiguous,3,p,human
8F,ambiguous,4,p,human
8F,unambiguous,1,p,human
8F,unambiguous,2,p,human
8F,unambiguous,3,p,human
8F,unambiguous,4,p,human
9M,ambiguous,1,p,human
9M,ambiguous,2,p,human
9M,ambiguous,3,p,human
9M,ambiguous,4,p,human
9M,unambiguous,1,p,human
9M,unambiguous,2,p,human
9M,unambiguous,3,p,human
9M,unambiguous,4,p,human
9F,ambiguous,1,p,human
9F,ambiguous,2,p,human
9F,ambiguous,3,p,human
9F,ambiguous,4,p,human
9F,unambiguous,1,p,human
9F,unambiguous,2,np,human
9F,unambiguous,3,np,human
9F,unambiguous,4,p,human
10M,unambiguous,1,np,human
10M,unambiguous,2,np,human
10M,unambiguous,3,np,human
10M,unambiguous,4,np,human
10M,ambiguous,1,np,human
10M,ambiguous,2,np,human
10M,ambiguous,3,np,human
10M,ambiguous,4,np,human
10F,unambiguous,1,np,human
10F,unambiguous,2,p,human
10F,unambiguous,3,p,human
10F,unambiguous,4,p,human
10F,ambiguous,1,p,human
10F,ambiguous,2,p,human
10F,ambiguous,3,p,human
10F,ambiguous,4,p,human
11M,unambiguous,1,np,human
11M,unambiguous,2,np,human
11M,unambiguous,3,np,human
11M,unambiguous,4,np,human
11M,ambiguous,1,np,human
11M,ambiguous,2,np,human
11M,ambiguous,3,np,human
11M,ambiguous,4,np,human
11F,unambiguous,1,np,human
11F,unambiguous,2,np,human
11F,unambiguous,3,np,human
11F,unambiguous,4,np,human
11F,ambiguous,1,np,human
11F,ambiguous,2,np,human
11F,ambiguous,3,np,human
11F,ambiguous,4,np,human
12M,unambiguous,1,p,human
12M,unambiguous,2,p,human
12M,unambiguous,3,p,human
12M,unambiguous,4,np,human
12M,ambiguous,1,p,human
12M,ambiguous,2,p,human
12M,ambiguous,3,p,human
12M,ambiguous,4,p,human
13M,unambiguous,1,np,human
13M,unambiguous,2,np,human
13M,unambiguous,3,np,human
13M,unambiguous,4,np,human
13M,ambiguous,1,np,human
13M,ambiguous,2,p,human
13M,ambiguous,3,p,human
13M,ambiguous,4,p,human
